kepoi_name,kepler_name,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,target
K00941.02,Kepler-257 b,1.0,0,0,0,0,2.382652873,3.595e-06,-3.595e-06,170.66626,0.00119,-0.00119,0.682,0.019,-0.519,1.8888,0.0448,-0.0448,705.4,18.1,-18.1,2.74,0.94,-0.43,1237.0,,,553.53,581.85,-206.16,45.5,3.0,5188.0,171.0,-155.0,4.4,0.14,-0.26,0.973,0.333,-0.154,15.471,1
K00941.03,Kepler-257 d,1.0,0,0,0,0,24.66461416,4.062e-05,-4.062e-05,189.02031,0.00112,-0.00112,0.8,0.061,-0.567,2.8579,0.0617,-0.0617,2398.8,46.8,-46.8,5.34,1.83,-0.84,567.0,,,24.53,25.78,-9.14,56.7,2.0,5188.0,171.0,-155.0,4.4,0.14,-0.26,0.973,0.333,-0.154,15.471,1
K00942.01,Kepler-735 b,1.0,0,0,0,0,11.51517167,1.566e-05,-1.566e-05,174.85855,0.00106,-0.00106,0.311,0.124,-0.311,2.006,0.0382,-0.0382,1357.4,30.3,-30.3,2.9,0.4,-0.19,657.0,,,43.96,19.8,-10.12,53.2,1.0,5177.0,155.0,-155.0,4.59,0.024,-0.102,0.798,0.108,-0.054,15.386,1
K00137.01,Kepler-18 c,1.0,0,0,0,0,7.641567589,1.769e-06,-1.769e-06,135.407564,0.000191,-0.000191,0.027,0.167,-0.027,3.41018,0.00733,-0.00733,2269.7,5.8,-5.8,4.91,0.3,-0.33,899.0,,,154.25,34.59,-27.39,437.5,2.0,5356.0,112.0,-72.0,4.338,0.065,-0.04,1.055,0.065,-0.072,13.549,1
K01006.01,,0.0,0,1,0,0,30.6113932,0.0001009,-0.0001009,374.6216,0.00224,-0.00224,1.264,70.12,-2.663,3.576,0.124,-0.124,3472.0,111.0,-111.0,19.68,1.77,-2.21,317.0,,,2.38,0.76,-0.74,37.5,1.0,3900.0,105.0,-128.0,4.727,0.054,-0.04,0.534,0.048,-0.06,15.97,0
K01007.01,Kepler-748 b,1.0,0,0,0,0,7.40742502,3.66e-05,-3.66e-05,355.49652,0.00325,-0.00325,0.03,0.401,-0.03,3.675,0.101,-0.101,442.0,21.0,-21.0,02.01,0.62,-0.21,938.0,,,183.15,171.57,-55.16,23.1,1.0,5922.0,184.0,-205.0,4.474,0.054,-0.216,0.961,0.297,-0.099,15.242,1
K01008.01,,0.0,1,0,0,0,569.934135,0.001502,-0.001502,248.94045,0.00171,-0.00171,0.919,12.44,-0.076,4.1904,0.0617,-0.0617,18904.0,296.0,-296.0,38.98,11.11,-4.76,296.0,,,1.81,1.35,-0.5,66.7,1.0,5367.0,75.0,-86.0,3.783,0.084,-0.144,2.057,0.586,-0.251,14.645,0
K01009.01,,0.0,0,0,1,0,5.09246539,4.39e-05,-4.39e-05,357.53594,0.0053,-0.0053,0.161,0.303,-0.161,3.659,0.199,-0.199,254.0,16.5,-16.5,1.17,0.12,-0.13,844.0,,,119.7,48.69,-36.91,17.1,1.0,5037.0,181.0,-181.0,4.547,0.072,-0.054,0.751,0.079,-0.079,15.162,0
K01010.01,,,1,0,0,0,110.61576622,,,145.83537,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.62,0
K01077.01,,0.0,0,0,0,1,1.103971357,2.679e-06,-2.679e-06,354.58216,0.00172,-0.00172,0.52,0.006,-0.478,0.926,0.0818,-0.0818,317.9,21.3,-21.3,1.37,0.25,-0.11,1471.0,,,1109.79,652.85,-295.67,21.7,1.0,5409.0,185.0,-185.0,4.609,0.037,-0.112,0.746,0.133,-0.061,15.732,0
K00142.01,Kepler-88 b,,0,0,0,0,10.916108342,4.875e-06,-4.875e-06,133.009227,0.000349,-0.000349,0.7699,0.0632,-0.3396,3.6496,0.0646,-0.0646,1479.0,6.8,-6.8,3.93,0.66,-0.15,758.0,,,78.19,34.99,-11.75,302.2,,5575.0,82.0,-116.0,4.521,0.019,-0.153,0.932,0.157,-0.036,13.113,1
K01078.01,Kepler-267 b,1.0,0,0,0,0,3.353732008,3.996e-06,-3.996e-06,134.869597,0.000945,-0.000945,0.051,0.363,-0.051,1.4598,0.0346,-0.0346,1264.7,30.9,-30.9,1.65,0.12,-0.19,615.0,,,33.76,8.53,-9.54,47.8,1.0,3789.0,75.0,-82.0,4.781,0.063,-0.031,0.46,0.035,-0.053,15.438,1
K01078.02,Kepler-267 c,0.99,0,0,0,0,6.877446033,8.893e-06,-8.893e-06,132.08426,0.00107,-0.00107,0.79,0.01,-0.555,1.3692,0.0435,-0.0435,1632.3,49.2,-49.2,02.05,0.16,-0.24,484.0,,,12.95,3.27,-3.66,39.6,2.0,3789.0,75.0,-82.0,4.781,0.063,-0.031,0.46,0.035,-0.053,15.438,1
K01078.03,Kepler-267 d,0.992,0,0,0,0,28.46464804,8.805e-05,-8.805e-05,158.03986,0.00254,-0.00254,0.035,0.395,-0.035,2.6657,0.0806,-0.0806,1629.8,60.3,-60.3,1.87,0.14,-0.22,301.0,,,1.95,0.49,-0.55,28.9,3.0,3789.0,75.0,-82.0,4.781,0.063,-0.031,0.46,0.035,-0.053,15.438,1
K01079.01,,,0,0,0,0,0.293630085,1.15e-07,-1.15e-07,133.584241,0.000338,-0.000338,1.2329,0.2354,-0.006,2.3857,0.0391,-0.0391,2017.7,15.1,-15.1,26.35,7.63,-2.12,2503.0,,,9283.34,8030.07,-2302.06,170.0,,5665.0,165.0,-163.0,4.554,0.03,-0.198,0.843,0.244,-0.068,15.822,0
K00148.03,Kepler-48 d,0.998,0,0,0,0,42.89645024,9.431e-05,-9.431e-05,146.0613,0.00186,-0.00186,0.007,0.397,-0.007,5.6897,0.056,-0.056,555.3,8.6,-8.6,2.0,0.15,-0.15,448.0,,,9.54,2.38,-1.99,66.8,3.0,5192.0,103.0,-103.0,4.489,0.066,-0.054,0.873,0.065,-0.065,13.04,1
K01144.01,,0.0,0,0,1,1,2.44199803,1.066e-05,-1.066e-05,134.57095,0.00371,-0.00371,0.856,0.135,-0.855,2.759,0.534,-0.534,251.7,19.4,-19.4,1.44,0.35,-0.12,1282.0,,,638.05,459.75,-161.64,27.2,1.0,5970.0,161.0,-179.0,4.564,0.044,-0.176,0.796,0.194,-0.065,15.282,0
K01146.01,Kepler-779 b,1.0,0,0,0,0,7.09712124,2.596e-05,-2.596e-05,136.34514,0.00279,-0.00279,0.05,0.369,-0.05,2.1059,0.09,-0.09,369.5,23.3,-23.3,0.74,0.09,-0.11,425.0,,,7.73,2.78,-2.57,18.3,1.0,3569.0,71.0,-78.0,4.861,0.066,-0.044,0.389,0.047,-0.057,15.649,1
K01147.01,,0.0,0,0,1,1,2.6827683,1.34e-05,-1.34e-05,134.25535,0.00431,-0.00431,0.769,0.154,-0.524,2.957,0.122,-0.122,79.8,3.7,-3.7,1.19,0.34,-0.27,1551.0,,,1366.57,1122.97,-655.64,26.7,1.0,6180.0,169.0,-206.0,4.262,0.185,-0.185,1.223,0.341,-0.279,13.475,0
K00943.01,Kepler-736 b,1.0,0,0,0,0,3.601465336,5.941e-06,-5.941e-06,171.99184,0.00126,-0.00126,0.021,0.412,-0.021,2.2753,0.0456,-0.0456,777.7,18.1,-18.1,2.31,0.11,-0.18,996.0,,,232.65,38.84,-46.04,50.7,1.0,5052.0,83.0,-75.0,4.48,0.077,-0.033,0.855,0.039,-0.066,15.733,1
K00944.01,,1.0,0,1,1,0,3.108251172,1.59e-06,-1.59e-06,170.244566,0.000409,-0.000409,0.9,0.012,-0.026,2.5048,0.0646,-0.0646,1867.7,15.5,-15.5,4.43,0.74,-0.49,1096.0,,,340.69,180.7,-99.18,156.5,1.0,5330.0,159.0,-143.0,4.495,0.085,-0.114,0.847,0.141,-0.094,15.361,0
K00945.01,Kepler-1666 b,1.0,0,0,0,0,25.8474958,0.0001702,-0.0001702,188.874,0.00462,-0.00462,0.054,0.421,-0.054,5.985,0.148,-0.148,537.4,21.4,-21.4,2.4,0.75,-0.25,672.0,,,48.23,43.85,-14.74,27.3,2.0,6297.0,169.0,-225.0,4.448,0.052,-0.208,1.031,0.32,-0.107,15.083,1
K00945.02,Kepler-1666 c,0.999,0,0,0,0,40.715561,0.0002096,-0.0002096,146.36485,0.00408,-0.00408,0.008,0.407,-0.008,6.894,0.131,-0.131,680.9,25.2,-25.2,2.7,0.84,-0.28,578.0,,,26.34,23.94,-8.05,28.9,1.0,6297.0,169.0,-225.0,4.448,0.052,-0.208,1.031,0.32,-0.107,15.083,1
K00946.01,,0.0,0,1,1,1,20.42720701,6.125e-05,-6.125e-05,176.71737,0.00227,-0.00227,0.956,0.595,-0.118,3.447,0.199,-0.199,1273.0,52.3,-52.3,4.42,1.38,-0.46,674.0,,,48.72,46.37,-14.82,36.7,1.0,6014.0,189.0,-210.0,4.494,0.052,-0.221,0.958,0.3,-0.1,15.163,0
K01011.01,,0.0,0,1,0,0,6.198273591,5.39e-07,-5.39e-07,183.3731434,6.9e-05,-6.9e-05,0.343,0.004,-0.005,7.53837,0.0054,-0.0054,47303.0,22.2,-22.2,19.81,6.4,-2.14,985.0,,,222.23,215.49,-69.5,2561.1,1.0,6038.0,181.0,-217.0,4.524,0.039,-0.221,0.898,0.29,-0.097,15.67,0
K01012.01,,0.0,0,0,1,1,1.023471798,1.529e-06,-1.529e-06,354.8182,0.00104,-0.00104,0.974,0.058,-0.017,2.3499,0.0608,-0.0608,861.4,17.9,-17.9,3.78,01.04,-0.44,1727.0,,,2103.09,1777.92,-670.72,63.0,1.0,5741.0,189.0,-189.0,4.491,0.075,-0.188,0.893,0.244,-0.105,15.381,0
K01013.01,,0.0,0,1,0,0,0.51872711,2.46e-07,-2.46e-07,133.676312,0.0004,-0.0004,1.199,0.88,-0.139,1.252,0.0249,-0.0249,714.1,9.9,-9.9,19.07,3.68,-1.57,1965.0,,,3537.27,2068.56,-905.74,93.3,1.0,5572.0,152.0,-169.0,4.597,0.04,-0.128,0.762,0.147,-0.063,15.348,0
K01014.01,Kepler-749 b,0.995,0,0,0,0,17.31711739,4.694e-05,-4.694e-05,142.36094,0.0022,-0.0022,0.684,0.259,-0.466,3.1518,0.0842,-0.0842,1473.0,47.3,-47.3,02.04,0.1,-0.11,454.0,,,10.07,2.22,-2.31,35.9,1.0,4719.0,131.0,-164.0,4.753,0.042,-0.024,0.502,0.023,-0.029,15.759,1
K01015.01,Kepler-750 b,1.0,0,0,0,0,9.42889884,2.354e-05,-2.354e-05,140.1046,0.00202,-0.00202,0.011,0.386,-0.011,4.4481,0.0582,-0.0582,565.4,12.0,-12.0,4.39,0.61,-1.13,1163.0,,,432.9,159.68,-207.44,50.4,1.0,5897.0,79.0,-79.0,3.98,0.203,-0.072,1.86,0.259,-0.481,14.5,1
K01080.01,,0.0,0,1,1,1,1.096583368,2.279e-06,-2.279e-06,133.61436,0.00191,-0.00191,0.421,0.042,-0.421,2.1188,0.0637,-0.0637,308.5,8.7,-8.7,1.35,0.18,-0.15,1474.0,,,1119.9,498.08,-333.71,44.3,1.0,5222.0,155.0,-155.0,4.528,0.085,-0.095,0.763,0.102,-0.084,14.867,0
K01082.01,Kepler-763 d,1.0,0,0,0,0,6.50327035,3.134e-05,-3.134e-05,135.26657,0.00357,-0.00357,0.08,0.375,-0.08,2.591,0.131,-0.131,418.3,24.1,-24.1,1.67,0.08,-0.12,804.0,,,98.81,16.62,-18.82,19.0,1.0,4999.0,79.0,-79.0,4.49,0.075,-0.03,0.843,0.04,-0.06,15.692,1
K01082.02,Kepler-763 c,0.695,0,0,0,0,4.09667624,1.956e-05,-1.956e-05,133.09833,0.00376,-0.00376,0.142,0.32,-0.142,2.19,0.122,-0.122,302.3,20.4,-20.4,1.42,0.07,-0.1,938.0,,,182.9,30.76,-34.85,16.2,3.0,4999.0,79.0,-79.0,4.49,0.075,-0.03,0.843,0.04,-0.06,15.692,1
K01082.03,Kepler-763 b,0.821,0,0,0,0,1.196548464,3.749e-06,-3.749e-06,132.53363,0.00253,-0.00253,0.332,0.136,-0.332,1.2592,0.081,-0.081,224.6,16.0,-16.0,1.25,0.06,-0.09,1414.0,,,945.12,158.94,-180.08,16.5,2.0,4999.0,79.0,-79.0,4.49,0.075,-0.03,0.843,0.04,-0.06,15.692,1
K01148.01,Kepler-270 b,1.0,0,0,0,0,11.47609015,5.083e-05,-5.083e-05,135.39622,0.00365,-0.00365,0.755,0.011,-0.543,5.046,0.111,-0.111,182.3,7.1,-7.1,02.07,0.37,-0.37,984.0,,,221.34,111.44,-84.71,27.7,1.0,6071.0,121.0,-133.0,4.202,0.149,-0.122,1.41,0.252,-0.252,13.908,1
K01148.02,Kepler-270 c,0.998,0,0,0,0,25.2630467,0.0003312,-0.0003312,134.18397,0.00999,-0.00999,0.743,0.215,-0.507,6.22,0.293,-0.293,125.5,9.4,-9.4,1.71,0.3,-0.31,756.0,,,77.24,38.89,-29.56,14.3,2.0,6071.0,121.0,-133.0,4.202,0.149,-0.122,1.41,0.252,-0.252,13.908,1
K01149.01,,,1,0,0,0,7.1688266,,,136.23827,,,,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,15.602,0
K01150.01,Kepler-780 b,1.0,0,0,0,0,0.677374687,1.098e-06,-1.098e-06,133.94573,0.00137,-0.00137,0.132,0.335,-0.132,1.8361,0.0399,-0.0399,76.7,2.3,-2.3,0.9,0.14,-0.08,2099.0,,,4572.56,1997.25,-1123.4,38.7,1.0,5718.0,104.0,-115.0,4.395,0.09,-0.11,1.037,0.162,-0.099,13.326,1
K01151.01,Kepler-271 b,1.0,0,0,0,0,10.43547031,2.685e-05,-2.685e-05,134.82462,0.0023,-0.0023,0.174,0.257,-0.174,3.4167,0.0598,-0.0598,210.2,6.0,-6.0,1.22,0.13,-0.09,759.0,,,78.35,25.04,-16.97,36.7,1.0,5528.0,110.0,-110.0,4.499,0.063,-0.077,0.853,0.089,-0.067,13.404,1
K01151.02,Kepler-271 c,0.997,0,0,0,0,7.41084314,3.098e-05,-3.098e-05,135.75425,0.00343,-0.00343,0.064,0.384,-0.064,3.245,0.0965,-0.0965,124.1,5.2,-5.2,0.94,0.1,-0.08,850.0,,,123.4,39.43,-26.72,25.6,2.0,5528.0,110.0,-110.0,4.499,0.063,-0.077,0.853,0.089,-0.067,13.404,1
K00947.01,Kepler-737 b,1.0,0,0,0,0,28.59914031,5.489e-05,-5.489e-05,189.92667,0.00157,-0.00157,0.009,0.374,-0.009,3.6567,0.0556,-0.0556,1585.1,33.9,-33.9,1.83,0.16,-0.21,298.0,,,1.87,0.52,-0.53,53.8,1.0,3755.0,75.0,-84.0,4.781,0.063,-0.031,0.461,0.04,-0.053,15.19,1
K00948.01,Kepler-738 b,1.0,0,0,0,0,24.58716355,8.739e-05,-8.739e-05,173.70572,0.00293,-0.00293,0.648,0.269,-0.43,3.984,0.101,-0.101,907.5,29.5,-29.5,2.37,0.41,-0.21,530.0,,,18.72,9.94,-4.89,35.6,1.0,5474.0,147.0,-163.0,4.605,0.037,-0.105,0.749,0.13,-0.065,15.598,1
K00130.01,,0.913,0,1,0,0,34.193600311,3.658e-06,-3.658e-06,155.2966351,8.58e-05,-8.58e-05,0.625,0.004,-0.005,5.41382,0.00803,-0.00803,13715.0,11.6,-11.6,21.95,3.79,-4.63,778.0,,,86.74,43.36,-36.96,1405.6,1.0,6129.0,135.0,-123.0,3.991,0.175,-0.094,1.786,0.308,-0.377,13.325,0
K00949.01,Kepler-739 b,1.0,0,0,0,0,12.53248222,2.23e-05,-2.23e-05,170.76535,0.00137,-0.00137,0.668,0.05,-0.481,4.0168,0.0646,-0.0646,1145.9,19.7,-19.7,3.24,0.94,-0.32,775.0,,,85.15,72.99,-24.49,66.7,1.0,5997.0,162.0,-198.0,4.522,0.048,-0.192,0.904,0.264,-0.088,15.485,1
K00951.01,Kepler-258 b,1.0,0,0,0,0,13.19720694,1.212e-05,-1.212e-05,171.545479,0.000712,-0.000712,0.568,0.028,-0.462,3.4872,0.0489,-0.0489,2141.4,20.2,-20.2,4.18,4.82,-0.6,642.0,,,40.03,168.4,-14.02,116.2,1.0,4954.0,148.0,-148.0,4.462,0.102,-0.578,0.885,1.019,-0.127,15.223,1
K00137.02,Kepler-18 d,1.0,0,0,0,0,14.85890852,3.808e-06,-3.808e-06,128.154869,0.000217,-0.000217,0.255,0.052,-0.225,3.5252,0.0133,-0.0133,3269.0,7.7,-7.7,5.94,0.37,-0.4,720.0,,,63.52,14.25,-11.28,456.8,1.0,5356.0,112.0,-72.0,4.338,0.065,-0.04,1.055,0.065,-0.072,13.549,1
K01015.02,Kepler-750 c,0.989,0,0,0,0,4.08897299,2.151e-05,-2.151e-05,135.76402,0.00507,-0.00507,0.374,0.059,-0.374,3.585,0.138,-0.138,157.9,9.3,-9.3,2.36,0.32,-0.61,1537.0,,,1317.96,486.13,-631.56,19.0,2.0,5897.0,79.0,-79.0,3.98,0.203,-0.072,1.86,0.259,-0.481,14.5,1
K01016.01,,0.0,0,0,1,0,2.866680334,2.851e-06,-2.851e-06,134.066374,0.000805,-0.000805,0.968,0.041,-0.7,1.1264,0.0877,-0.0877,712.4,22.1,-22.1,2.93,0.47,-0.22,1045.0,,,282.64,145.46,-67.9,43.0,1.0,5238.0,158.0,-158.0,4.598,0.032,-0.097,0.764,0.122,-0.056,15.028,0
K01017.01,Kepler-751 b,1.0,0,0,0,0,17.44486016,4.901e-05,-4.901e-05,141.6802,0.00232,-0.00232,0.871,0.03,-0.618,4.445,0.081,-0.081,826.9,20.3,-20.3,3.24,0.88,-0.47,679.0,,,50.32,40.99,-17.8,46.0,1.0,5568.0,166.0,-166.0,4.413,0.12,-0.18,0.966,0.261,-0.141,15.007,1
K01018.01,,0.0,0,0,1,0,8.30697421,3.743e-05,-3.743e-05,137.08254,0.00392,-0.00392,1.151,68.14,-0.394,2.76,0.223,-0.223,158.7,11.2,-11.2,37.99,22.75,-27.81,1246.0,,,570.93,1049.01,-535.02,17.4,1.0,5300.0,140.0,-172.0,3.69,0.917,-0.327,2.124,1.272,-1.555,13.838,0
K01019.01,,,1,0,0,0,2.49705175,,,135.3072596,,,,,,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,10.266,0
K01083.01,Kepler-764 b,1.0,0,0,0,0,7.33685101,3.67e-05,-3.67e-05,138.5829,0.00365,-0.00365,0.018,0.417,-0.018,3.548,0.113,-0.113,325.8,16.4,-16.4,1.52,0.45,-0.14,875.0,,,138.46,120.47,-37.52,21.6,1.0,5795.0,155.0,-172.0,4.554,0.036,-0.192,0.848,0.252,-0.079,15.302,1
K00143.01,,0.983,0,1,0,0,22.65117451,1.474e-05,-1.474e-05,140.337593,0.000551,-0.000551,0.925,0.003,-0.004,3.6895,0.0364,-0.0364,2250.0,17.5,-17.5,7.62,2.93,-0.98,855.0,,,126.57,144.35,-44.3,170.1,1.0,6968.0,194.0,-267.0,4.31,0.058,-0.232,1.333,0.513,-0.171,13.682,0
K01084.01,,0.0,0,0,1,0,1.204274435,1.888e-06,-1.888e-06,134.05838,0.00121,-0.00121,0.528,0.055,-0.434,1.3362,0.0454,-0.0454,185.8,6.5,-6.5,1.19,0.32,-0.11,1564.0,,,1413.91,1120.16,-391.53,34.7,1.0,5668.0,152.0,-169.0,4.552,0.035,-0.184,0.849,0.229,-0.082,14.415,0
K01085.01,Kepler-1735 b,0.993,0,0,0,0,7.71790675,4.487e-05,-4.487e-05,139.15725,0.00467,-0.00467,0.112,0.347,-0.112,1.84,0.148,-0.148,306.8,29.2,-29.2,0.9,0.06,-0.07,502.0,,,15.01,3.53,-3.2,12.6,1.0,3975.0,71.0,-87.0,4.753,0.031,-0.038,0.509,0.037,-0.037,15.233,1
K01086.01,Kepler-765 b,1.0,0,0,0,0,27.6652847,0.00013,-0.00013,144.8714,0.00346,-0.00346,0.004,0.425,-0.004,6.633,0.108,-0.108,469.2,15.1,-15.1,2.21,0.64,-0.35,641.0,,,39.94,34.34,-14.89,36.1,1.0,6036.0,163.0,-181.0,4.396,0.105,-0.195,1.017,0.298,-0.161,14.609,1
K01087.01,,0.0,0,1,1,1,0.948950734,4.48e-07,-4.48e-07,134.368152,0.000395,-0.000395,1.246,0.243,-0.079,4.0245,0.0239,-0.0239,2133.0,10.3,-10.3,36.87,12.63,-5.04,2103.0,,,4636.91,4680.69,-1719.3,238.6,1.0,6307.0,174.0,-261.0,4.391,0.07,-0.21,1.133,0.388,-0.155,14.909,0
K00149.01,Kepler-473 b,1.0,0,0,0,0,14.55730897,1.395e-05,-1.395e-05,145.095012,0.00076,-0.00076,0.036,0.284,-0.036,7.7643,0.0289,-0.0289,956.9,5.5,-5.5,4.32,0.71,-0.86,879.0,,,141.0,65.83,-57.18,200.0,1.0,5774.0,115.0,-104.0,4.159,0.168,-0.098,1.412,0.232,-0.283,13.397,1
K01152.01,,0.0,0,1,1,0,4.722254104,1.575e-06,-1.575e-06,178.243313,0.000255,-0.000255,0.506,0.03,-0.003,3.451,0.0209,-0.0209,82670.0,354.0,-354.0,14.45,0.98,-0.8,557.0,,,22.67,4.75,-3.73,314.1,1.0,3801.0,57.0,-62.0,4.776,0.025,-0.039,0.488,0.033,-0.027,13.987,0
K01153.01,,0.0,1,0,0,0,0.635069939,7.1e-08,-7.1e-08,134.0209283,8.69e-05,-8.69e-05,1.25,0.187,-0.079,2.07171,0.00354,-0.00354,33117.0,29.6,-29.6,57.77,18.29,-6.12,2351.0,,,7193.72,6499.52,-2154.28,578.6,1.0,6340.0,150.0,-206.0,4.434,0.054,-0.216,1.058,0.335,-0.112,14.539,0
K01155.01,,0.0,0,0,1,1,0.933746515,3.11e-07,-3.11e-07,133.387415,0.000291,-0.000291,1.262,0.085,-0.082,6.6522,0.0218,-0.0218,2936.6,7.0,-7.0,25.54,3.38,-2.25,1508.0,,,1222.25,541.93,-310.48,549.5,1.0,5252.0,157.0,-141.0,4.596,0.054,-0.072,0.716,0.095,-0.063,14.658,0
K01156.01,,0.0,0,1,0,0,1.872421727,5.64e-07,-5.64e-07,134.366162,0.00025,-0.00025,0.917,0.016,-0.018,1.5261,0.0257,-0.0257,3018.9,32.6,-32.6,5.65,0.81,-0.73,1298.0,,,672.92,315.81,-220.05,179.0,1.0,5337.0,159.0,-159.0,4.486,0.105,-0.105,0.825,0.118,-0.106,15.29,0
K00951.02,Kepler-258 c,0.982,0,0,0,0,33.6528474,0.0001054,-0.0001054,147.8025,0.00266,-0.00266,0.567,0.006,-0.509,3.9616,0.0949,-0.0949,1140.8,29.6,-29.6,03.05,3.52,-0.44,470.0,,,11.5,48.38,-4.03,41.9,2.0,4954.0,148.0,-148.0,4.462,0.102,-0.578,0.885,1.019,-0.127,15.223,1
K00952.01,Kepler-32 b,1.0,0,0,0,0,5.90127815,7.03e-06,-7.03e-06,171.40674,0.000884,-0.000884,0.03,0.288,-0.03,2.1979,0.0307,-0.0307,1525.2,28.9,-28.9,1.94,0.13,-0.2,514.0,,,16.54,3.85,-4.36,56.6,1.0,3731.0,73.0,-83.0,4.75,0.052,-0.028,0.498,0.034,-0.051,15.801,1
K00952.02,Kepler-32 c,1.0,0,0,0,0,8.75209691,1.306e-05,-1.306e-05,170.63671,0.00118,-0.00118,0.017,0.317,-0.017,2.3742,0.0384,-0.0384,1367.6,32.5,-32.5,1.83,0.13,-0.19,451.0,,,9.76,2.27,-2.58,44.8,3.0,3731.0,73.0,-83.0,4.75,0.052,-0.028,0.498,0.034,-0.051,15.801,1
K00952.03,Kepler-32 d,1.0,0,0,0,0,22.78078241,3.951e-05,-3.951e-05,155.20408,0.00138,-0.00138,0.008,0.283,-0.008,3.3002,0.0449,-0.0449,1925.1,42.3,-42.3,2.17,0.15,-0.22,328.0,,,2.73,0.63,-0.72,46.4,2.0,3731.0,73.0,-83.0,4.75,0.052,-0.028,0.498,0.034,-0.051,15.801,1
K00952.04,Kepler-32 e,0.968,0,0,0,0,2.896005211,4.317e-06,-4.317e-06,133.61228,0.00118,-0.00118,0.082,0.256,-0.082,1.6776,0.0345,-0.0345,614.1,23.2,-23.2,1.23,0.08,-0.13,652.0,,,42.53,9.92,-11.21,28.6,4.0,3731.0,73.0,-83.0,4.75,0.052,-0.028,0.498,0.034,-0.051,15.801,1
K00952.05,Kepler-32 f,0.996,0,0,0,0,0.742957911,2.3e-07,-2.3e-07,133.27936,0.000228,-0.000228,0.162,0.162,-0.161,0.6688,0.051,-0.051,843.3,13.6,-13.6,1.47,0.1,-0.15,1026.0,,,262.51,61.21,-69.21,45.3,5.0,3731.0,73.0,-83.0,4.75,0.052,-0.028,0.498,0.034,-0.051,15.801,1
K01020.01,,0.0,0,1,0,0,54.35635067,1.598e-05,-1.598e-05,164.070221,0.000239,-0.000239,1.142,0.301,-0.072,6.4345,0.0129,-0.0129,10510.0,19.9,-19.9,38.81,6.74,-4.89,566.0,,,24.18,11.87,-7.27,628.1,1.0,6161.0,123.0,-135.0,4.281,0.12,-0.12,1.255,0.218,-0.158,12.899,0
K01021.01,,0.0,0,0,1,1,0.54624855,8.73e-07,-8.73e-07,178.5614,0.00131,-0.00131,1.215,01.07,-0.006,2.0543,0.0732,-0.0732,639.7,18.6,-18.6,18.93,3.18,-1.46,1837.0,,,2677.36,1432.81,-657.57,42.9,1.0,5414.0,162.0,-162.0,4.625,0.035,-0.105,0.714,0.12,-0.055,15.996,0
K01022.01,Kepler-752 b,1.0,0,0,0,0,18.82744023,7.934e-05,-7.934e-05,196.19088,0.00313,-0.00313,0.025,0.412,-0.025,4.664,0.106,-0.106,1006.2,36.2,-36.2,2.7,0.78,-0.25,632.0,,,37.82,32.51,-10.39,29.5,1.0,5687.0,169.0,-169.0,4.538,0.046,-0.184,0.86,0.246,-0.082,15.762,1
K01023.01,,0.0,0,0,1,1,8.4120069,3.509e-05,-3.509e-05,139.64745,0.00362,-0.00362,0.022,0.821,-0.022,3.923,0.551,-0.551,819.6,34.4,-34.4,1.71,0.15,-0.13,590.0,,,28.69,9.33,-6.89,39.7,1.0,4502.0,121.0,-134.0,4.668,0.028,-0.048,0.621,0.057,-0.046,15.156,0
K01024.01,Kepler-753 b,1.0,0,0,0,0,5.747711909,7.488e-06,-7.488e-06,133.29939,0.00111,-0.00111,0.575,0.051,-0.454,1.8923,0.04,-0.04,820.1,18.5,-18.5,1.86,0.07,-0.09,641.0,,,40.07,6.76,-6.61,51.7,1.0,4252.0,84.0,-84.0,4.64,0.03,-0.017,0.632,0.025,-0.031,14.496,1
K00137.03,Kepler-18 b,1.0,0,0,0,0,3.504691252,3.091e-06,-3.091e-06,133.511941,0.000714,-0.000714,0.741,0.004,-0.55,1.9811,0.0227,-0.0227,315.1,5.1,-5.1,02.03,0.13,-0.14,1165.0,,,435.21,97.61,-77.29,67.5,3.0,5356.0,112.0,-72.0,4.338,0.065,-0.04,1.055,0.065,-0.072,13.549,1
K01088.01,,0.0,0,1,1,0,0.995861402,1.46e-07,-1.46e-07,132.346819,0.000122,-0.000122,1.256,2.528,-0.139,1.1507,0.00838,-0.00838,4993.8,24.0,-24.0,26.93,3.81,-2.37,1477.0,,,1124.35,524.29,-295.75,272.0,1.0,5286.0,158.0,-158.0,4.604,0.045,-0.071,0.706,0.1,-0.062,15.577,0
