kepoi_name,kepler_name,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,target
K01060.01,Kepler-758 b,1.0,0,0,0,0,12.10968709,6.232e-05,-6.232e-05,140.21258,0.00386,-0.00386,0.924,0.004,-0.661,6.3461,0.0954,-0.0954,284.7,8.9,-8.9,2.98,0.46,-0.69,1005.0,,,240.8,106.82,-109.94,33.4,1.0,6021.0,120.0,-120.0,4.093,0.195,-0.105,1.458,0.226,-0.339,14.348,1
K01060.02,Kepler-758 c,0.758,0,0,0,0,4.75796103,3.448e-05,-3.448e-05,137.69636,0.00618,-0.00618,0.621,0.318,-0.391,4.66,0.157,-0.157,124.5,6.5,-6.5,1.7,0.27,-0.39,1372.0,,,835.65,370.7,-381.5,20.9,2.0,6021.0,120.0,-120.0,4.093,0.195,-0.105,1.458,0.226,-0.339,14.348,1
K01060.03,Kepler-758 d,1.0,0,0,0,0,20.4972755,0.000334,-0.000334,147.43894,0.00968,-0.00968,0.966,0.015,-0.673,8.536,0.406,-0.406,242.9,12.0,-12.0,2.96,0.46,-0.69,843.0,,,119.42,52.97,-54.52,22.8,3.0,6021.0,120.0,-120.0,4.093,0.195,-0.105,1.458,0.226,-0.339,14.348,1
K01119.02,,0.0,0,0,1,0,13.55480534,7.92e-05,-7.92e-05,139.81609,0.00541,-0.00541,0.497,0.457,-0.298,2.288,0.172,-0.172,48.3,3.6,-3.6,0.62,0.12,-0.07,679.0,,,50.41,33.33,-15.75,16.5,2.0,5370.0,187.0,-187.0,4.494,0.074,-0.137,0.874,0.178,-0.096,11.157,0
K01120.01,,0.0,0,1,0,0,29.74454668,2.697e-05,-2.697e-05,172.386652,0.000715,-0.000715,0.337,0.012,-0.015,23.2842,0.0537,-0.0537,66894.0,103.0,-103.0,20.06,1.58,-1.58,455.0,,,10.1,3.54,-2.65,765.0,1.0,4889.0,186.0,-169.0,4.569,0.036,-0.054,0.788,0.062,-0.062,11.753,0
K01121.01,,0.0,0,1,0,0,14.15402428,2.024e-06,-2.024e-06,140.698466,0.000116,-0.000116,1.1,0.021,-0.032,4.47001,0.006,-0.006,61625.0,76.9,-76.9,53.25,8.43,-5.18,777.0,,,86.13,37.91,-21.41,930.3,1.0,5850.0,105.0,-117.0,4.404,0.08,-0.12,1.037,0.164,-0.101,12.932,0
K01122.01,,0.0,0,1,1,0,0.844786082,3.47e-07,-3.47e-07,134.216987,0.000351,-0.000351,1.297,0.254,-0.207,3.5289,0.0217,-0.0217,2468.5,12.3,-12.3,35.27,9.14,-4.93,1864.0,,,2846.03,2234.43,-983.23,245.6,1.0,5705.0,172.0,-172.0,4.452,0.098,-0.182,0.915,0.237,-0.128,15.363,0
K01123.01,,0.001,0,1,0,0,0.848483947,2.24e-07,-2.24e-07,133.585301,0.000212,-0.000212,1.264,2.358,-0.096,1.4451,0.0127,-0.0127,1907.4,12.9,-12.9,32.11,10.12,-3.36,1908.0,,,3117.82,2903.46,-918.8,185.0,1.0,5941.0,166.0,-187.0,4.504,0.04,-0.216,0.936,0.295,-0.098,15.323,0
K01124.01,,0.0,0,1,1,1,11.99097576,2.12e-05,-2.12e-05,143.28437,0.00146,-0.00146,1.269,17.79,-0.101,5.7401,0.0726,-0.0726,2124.3,24.8,-24.8,37.47,11.15,-6.85,880.0,,,141.63,128.26,-59.57,102.8,1.0,6110.0,192.0,-213.0,4.352,0.149,-0.182,1.072,0.319,-0.196,14.977,0
K01199.01,Kepler-786 b,1.0,0,0,0,0,53.5292702,0.0002683,-0.0002683,147.86464,0.00349,-0.00349,0.346,0.104,-0.346,5.668,0.122,-0.122,1086.1,35.7,-35.7,2.28,0.15,-0.08,348.0,,,3.48,0.79,-0.49,34.5,1.0,4736.0,94.0,-94.0,4.624,0.012,-0.048,0.708,0.046,-0.025,14.887,1
K01200.01,,,0,0,0,1,0.393726813,3.87e-07,-3.87e-07,133.310396,0.00083,-0.00083,1.1898,0.1972,-0.0608,2.95,0.0999,-0.0999,564.6,8.7,-8.7,24.17,10.39,-2.3,2705.0,,,12661.53,16030.98,-3683.52,64.8,,6277.0,164.0,-222.0,4.449,0.049,-0.291,1.031,0.443,-0.098,15.025,0
K01201.01,Kepler-1741 b,1.0,0,0,0,0,2.757584622,6.935e-06,-6.935e-06,133.05017,0.00209,-0.00209,0.093,0.352,-0.093,0.9267,0.0793,-0.0793,563.1,37.0,-37.0,01.01,0.11,-0.13,615.0,,,33.79,10.93,-10.56,19.6,1.0,3683.0,73.0,-88.0,4.84,0.05,-0.055,0.424,0.045,-0.055,15.597,1
